,session_id,session_started_at,session_ended_at,user_id,device_type,device_browser,device_operating_system,device_language,country
0,,2023-05-22 12:44:38,2023-05-22 13:34:51,271341289732357,mobile,google,ios,FR,
1,,2023-03-07 11:53:36,2023-03-07 12:31:12,271341289732357,mobile,google,ios,FR,
2,,2023-08-17 19:29:25,2023-08-17 20:06:29,271341289732357,mobile,google,ios,FR,
3,,2023-06-15 20:26:28,2023-06-15 21:25:11,271341289732357,mobile,google,ios,FR,
4,,2023-01-26 22:09:59,2023-01-26 22:16:11,935605800087124,mobile,google,ios,FR,FR
5,,2023-06-22 04:24:48,2023-06-22 04:52:14,935605800087124,mobile,google,ios,FR,FR
6,,2023-08-22 11:05:17,2023-08-22 11:06:04,935605800087124,mobile,google,ios,FR,FR
7,,2023-07-02 09:47:29,2023-07-02 10:00:21,935605800087124,mobile,google,ios,FR,FR
8,,2023-05-31 23:09:28,2023-06-01 00:06:39,935605800087124,mobile,google,ios,FR,FR
9,,2023-05-16 13:02:07,2023-05-16 13:13:34,935605800087124,mobile,google,ios,FR,FR
10,,2023-07-05 16:34:17,2023-07-05 17:31:13,273289244349422,mobile,,ios,FR,FR
11,,2023-12-14 03:31:37,2023-12-14 04:11:34,273289244349422,mobile,,ios,FR,FR
12,,2023-07-06 13:48:07,2023-07-06 14:40:31,304094899651347,desktop,google,,,FR
13,,2023-06-25 06:55:59,2023-06-25 07:13:12,304094899651347,desktop,google,,,FR
14,,2023-03-15 09:04:38,2023-03-15 09:07:17,304094899651347,desktop,google,,,FR
15,,2023-10-02 05:29:39,2023-10-02 05:41:09,304094899651347,desktop,google,,,FR
16,,2023-07-21 03:47:59,2023-07-21 04:47:43,304094899651347,desktop,google,,,FR
17,,2023-04-07 12:34:37,2023-04-07 13:31:47,297634696111083,desktop,google,,,FR
18,,2023-03-17 23:57:28,2023-03-18 00:09:45,297634696111083,desktop,google,,,FR
19,,2023-06-08 03:36:01,2023-06-08 04:03:02,297634696111083,desktop,google,,,FR
20,,2023-03-20 03:41:55,2023-03-20 03:51:44,297634696111083,desktop,google,,,FR
21,,2023-03-09 19:11:10,2023-03-09 19:48:08,297634696111083,desktop,google,,,FR
22,,2023-06-21 23:03:15,2023-06-21 23:04:10,297634696111083,desktop,google,,,FR
23,,2023-10-06 09:45:16,2023-10-06 09:51:58,152806875085687,mobile,,android,FR,
24,,2023-01-25 13:49:20,2023-01-25 14:29:22,152806875085687,mobile,,android,FR,
25,,2023-09-26 12:38:15,2023-09-26 13:35:22,297167259223131,,,,,FR
26,,2023-02-05 22:56:21,2023-02-05 23:33:43,297167259223131,,,,,FR
27,,2023-11-11 07:04:33,2023-11-11 07:26:11,297167259223131,,,,,FR
28,,2023-01-17 01:33:40,2023-01-17 01:55:19,297167259223131,,,,,FR
29,,2023-07-01 09:40:08,2023-07-01 09:52:58,297167259223131,,,,,FR
30,,2023-04-05 19:32:12,2023-04-05 19:58:03,367329536612421,mobile,google,android,FR,PT
31,,2023-06-19 14:45:10,2023-06-19 15:33:08,367329536612421,mobile,google,android,FR,PT
32,,2023-05-30 05:34:55,2023-05-30 06:24:22,367329536612421,mobile,google,android,FR,PT
33,,2023-05-21 04:14:24,2023-05-21 05:11:06,367329536612421,mobile,google,android,FR,PT
34,,2023-12-28 05:19:39,2023-12-28 05:50:41,367329536612421,mobile,google,android,FR,PT
35,,2023-08-18 19:54:32,2023-08-18 20:42:23,197522254909793,mobile,yahoo,ios,FR,FR
36,,2023-02-18 23:14:27,2023-02-18 23:40:18,197522254909793,mobile,yahoo,ios,FR,FR
37,,2023-03-17 13:36:38,2023-03-17 14:26:29,197522254909793,mobile,yahoo,ios,FR,FR
38,,2023-12-11 17:07:07,2023-12-11 17:42:49,197522254909793,mobile,yahoo,ios,FR,FR
39,,2023-03-19 11:02:27,2023-03-19 11:09:42,210847548631458,mobile,google,android,85183,FR
40,,2023-12-17 19:17:34,2023-12-17 19:41:49,210847548631458,mobile,google,android,85183,FR
41,,2023-12-13 19:44:22,2023-12-13 20:38:06,210847548631458,mobile,google,android,85183,FR
42,,2023-03-26 15:30:26,2023-03-26 15:39:39,210847548631458,mobile,google,android,85183,FR
43,,2023-11-11 15:15:46,2023-11-11 15:52:33,210847548631458,mobile,google,android,85183,FR
44,,2023-07-31 10:46:41,2023-07-31 10:49:17,210847548631458,mobile,google,android,85183,FR
45,,2023-09-05 12:44:31,2023-09-05 13:11:00,210847548631458,mobile,google,android,85183,FR
46,,2023-03-27 00:18:02,2023-03-27 00:27:14,210847548631458,mobile,google,android,85183,FR
47,,2023-09-30 00:19:51,2023-09-30 00:58:50,667885743655997,,bing,,,FR
48,,2023-02-25 06:45:03,2023-02-25 06:56:34,667885743655997,,bing,,,FR
49,,2023-09-23 02:09:02,2023-09-23 02:12:16,667885743655997,,bing,,,FR
50,,2023-06-13 15:33:03,2023-06-13 16:24:55,667885743655997,,bing,,,FR
51,,2023-03-16 13:26:54,2023-03-16 13:43:29,667885743655997,,bing,,,FR
52,,2023-05-21 00:46:01,2023-05-21 01:03:54,667885743655997,,bing,,,FR
53,,2023-07-31 06:30:07,2023-07-31 07:24:56,321666935043748,mobile,,android,FR,UK
54,,2023-08-23 06:16:28,2023-08-23 06:54:46,321666935043748,mobile,,android,FR,UK
55,,2023-12-02 03:06:02,2023-12-02 03:32:47,321666935043748,mobile,,android,FR,UK
56,,2023-07-21 08:03:28,2023-07-21 08:41:13,321666935043748,mobile,,android,FR,UK
57,,2023-04-07 01:03:14,2023-04-07 01:33:43,321666935043748,mobile,,android,FR,UK
58,,2023-11-03 13:25:04,2023-11-03 14:11:21,321666935043748,mobile,,android,FR,UK
