,user_id,setup_cluster,user_preference,user_behavior
0,100003521321234,5,Page 5,Semaine Jour
1,100015668608769,2,Page 6,Semaine Jour
2,100018322460971,1,Page 5,Nuit
3,100127188065202,6,Page 3,Weekend Jour
4,100163013020334,3,Multipages,Semaine Jour
5,100229992327486,2,Page 1,Weekend Nuit
6,100252699231636,6,Multipages,Pas de préférence
7,100289028843358,2,Page 5,Semaine Nuit
8,100302370925967,3,Peu intéressé,Weekend Nuit
9,100379495953971,0,Multipages,Pas de préférence
10,100391830194386,0,Page 6,Nuit
11,100409589043805,8,Page 5,Weekend Nuit
12,100448894846436,5,Page 4,Weekend Nuit
13,100519922937549,2,Page 6,Semaine
14,100543386075205,2,Peu intéressé,Pas de préférence
15,100555850804097,0,Page 6,Weekend Jour
16,100563888230738,0,Page 4,Semaine Jour
17,100564800726452,5,Peu intéressé,Weekend Jour
18,100612816824435,2,Multipages,Pas de préférence
19,100642478155651,3,Multipages,Weekend
20,100668016435583,0,Page 3,Semaine Nuit
21,100683184669856,2,Page 3,Semaine Nuit
22,100786567804279,4,Page 2,Semaine Nuit
23,100812489236971,5,Multipages,Semaine Jour
24,100848525954940,5,Multipages,Semaine Nuit
25,100894358098825,6,Page 5,Semaine
26,101067565327506,2,Multipages,Semaine Nuit
27,101069322454572,7,Page 4,Semaine Jour
28,101114577586899,2,Multipages,Semaine
29,101219907048879,3,Page 1,Semaine Nuit
30,101220218245413,6,Page 4,Weekend Jour
31,101223760936240,6,Multipages,Semaine Nuit
32,101231079852437,5,Page 5,Weekend Nuit
33,101327452230819,2,Multipages,Weekend
34,101506171406346,7,Page 3,Jour
35,101546062981895,11,Multipages,Jour
36,101692268377314,2,Peu intéressé,Jour
37,101717454830018,2,Multipages,Semaine Jour
38,101753932704397,6,Page 4,Weekend Nuit
39,101757026568609,2,Page 6,Pas de préférence
40,101881604603031,6,Page 1,Semaine Nuit
41,101897645420857,1,Page 4,Pas de préférence
42,101969166698172,0,Page 4,Semaine Jour
43,101983714877038,9,Page 6,Semaine Nuit
44,102065385929008,5,Peu intéressé,Semaine Jour
45,102069513467035,9,Page 1,Semaine Jour
46,102073825051328,11,Page 3,Jour
47,102126042669948,0,Multipages,Semaine
48,102217290652423,4,Page 3,Semaine
49,102223713735921,0,Multipages,Semaine Jour
50,102316544102876,3,Multipages,Semaine Jour
51,102378303005384,5,Page 3,Semaine Nuit
52,102446232319090,7,Page 4,Semaine Nuit
53,102448890143119,9,Multipages,Semaine Jour
54,102482539122384,7,Page 5,Nuit
55,102490985604474,5,Page 3,Semaine
56,102580251877353,3,Multipages,Semaine Jour
57,102621982475581,2,Multipages,Semaine Jour
58,102641689820366,0,Multipages,Semaine
59,102660027027405,11,Page 1,Semaine Jour
60,102698007271994,6,Page 5,Pas de préférence
61,102733830431458,4,Page 3,Semaine Jour
62,102823891261197,3,Peu intéressé,Nuit
63,102919945113142,6,Page 3,Weekend
64,102921096200031,2,Peu intéressé,Semaine Nuit
65,102939450998566,8,Page 3,Semaine Jour
66,102968658569209,5,Page 5,Semaine Jour
67,102974134941467,7,Page 4,Semaine Jour
68,103033867285124,3,Peu intéressé,Semaine Jour
69,103089871077853,6,Page 1,Semaine
70,103316227812815,8,Page 5,Jour
71,103406228436188,3,Multipages,Weekend
72,103547280804527,4,Multipages,Pas de préférence
73,103599953104426,9,Multipages,Semaine
74,103605300166341,0,Multipages,Semaine
75,103613500028652,6,Multipages,Semaine Nuit
76,103624796487963,5,Multipages,Semaine Nuit
77,103648735879203,0,Multipages,Pas de préférence
78,103659383835807,10,Page 1,Semaine
79,103680615963699,6,Page 2,Semaine
80,103683456724119,11,Page 1,Weekend Nuit
81,103721630472432,0,Page 4,Semaine Nuit
82,103745124561991,0,Page 5,Semaine Nuit
83,103825776953058,8,Page 4,Semaine
84,103839733964699,2,Page 6,Weekend
85,103868335212557,1,Page 1,Semaine
86,103873226622367,2,Page 3,Semaine Nuit
87,103873986301595,9,Multipages,Weekend Jour
88,103926682891259,2,Peu intéressé,Weekend Jour
89,104055368144967,3,Page 4,Nuit
90,104190425842107,2,Multipages,Semaine Jour
91,104195294076565,8,Multipages,Pas de préférence
92,104309782420639,11,Page 4,Pas de préférence
93,104313051166272,3,Page 5,Semaine Jour
94,104313321232361,6,Page 2,Weekend Jour
95,104358483517294,0,Multipages,Jour
96,104404888125841,11,Page 4,Semaine Jour
97,104416485675859,3,Page 2,Semaine
98,104444147362137,0,Page 5,Semaine Nuit
99,104448787090283,2,Page 5,Jour
100,104486023247549,3,Page 5,Semaine
101,104666790699784,2,Page 5,Semaine
102,104721303726051,6,Peu intéressé,Semaine Jour
103,104755292963164,10,Page 4,Pas de préférence
104,104831529449575,3,Page 5,Semaine Nuit
105,104992646529342,6,Page 3,Weekend Nuit
106,105042597444736,5,Multipages,Pas de préférence
107,105097424021740,4,Multipages,Pas de préférence
108,105141098033191,0,Multipages,Weekend Jour
109,105155588194869,6,Multipages,Nuit
110,105243344719665,2,Multipages,Pas de préférence
111,105276526191841,11,Multipages,Weekend Nuit
112,105276757452594,6,Page 5,Semaine
113,105291634314318,3,Page 1,Semaine Nuit
114,105328345174023,2,Page 5,Semaine
115,105377233432007,3,Multipages,Pas de préférence
116,105385517791021,2,Multipages,Weekend Jour
117,105401183759459,6,Page 2,Semaine Nuit
118,105489477904815,5,Peu intéressé,Nuit
119,105512086160640,3,Multipages,Semaine Jour
120,105528330671534,9,Page 3,Nuit
121,105623367377255,9,Page 6,Pas de préférence
122,105633528378838,3,Multipages,Semaine Nuit
123,105720867217190,0,Page 2,Semaine
124,105733103112890,8,Page 1,Semaine
125,105735261018040,9,Multipages,Semaine Nuit
126,105754241940870,3,Multipages,Semaine Nuit
127,105762215354676,2,Page 3,Semaine
128,105829331127292,6,Multipages,Semaine Jour
129,105837179446130,1,Multipages,Weekend
130,105857491235605,0,Multipages,Semaine
131,105861677245732,7,Multipages,Jour
132,105865441433683,0,Page 2,Semaine Nuit
