,session_id,session_started_at,session_ended_at,user_id,device_type,device_browser,device_operating_system,device_language,country,session_duration,session_weekday,day_period,time_btw_sessions
0,653011147.0,2023-08-28 11:05:52,2023-08-28 11:22:50,100003521321234,mobile,google,ios,Other,FR,0 days 00:16:58,0,morning,
1,3793533620.0,2023-06-26 17:30:52,2023-06-26 17:52:30,100015668608769,desktop,google,windows,,FR,0 days 00:21:38,0,afternoon,
2,1857230708.0,2023-01-21 06:14:34,2023-01-21 06:32:19,100018322460971,desktop,bing,windows,,FR,0 days 00:17:45,5,morning,
3,2454990133.0,2023-06-10 21:37:49,2023-06-10 22:10:49,100018322460971,desktop,bing,windows,,FR,0 days 00:33:00,5,evening,140 days 15:05:30
4,1727175312.0,2023-11-01 20:45:43,2023-11-01 21:26:53,100018322460971,desktop,bing,windows,,FR,0 days 00:41:10,2,evening,143 days 22:34:54
5,3753093227.0,2023-03-11 13:01:57,2023-03-11 13:24:10,100127188065202,mobile,,ios,FR,FR,0 days 00:22:13,5,afternoon,
6,3500500239.0,2023-03-04 14:18:49,2023-03-04 14:46:46,100163013020334,mobile,bing,android,FR,FR,0 days 00:27:57,5,afternoon,
7,2299796110.0,2023-05-15 01:35:07,2023-05-15 02:11:39,100163013020334,mobile,bing,android,FR,FR,0 days 00:36:32,0,night,71 days 10:48:21
8,1132275110.0,2023-07-19 11:49:38,2023-07-19 12:36:13,100163013020334,mobile,bing,android,FR,FR,0 days 00:46:35,2,morning,65 days 09:37:59
9,387631945.0,2023-05-28 20:48:23,2023-05-28 21:33:41,100229992327486,desktop,google,windows,,UK,0 days 00:45:18,6,evening,
10,2682054039.0,2023-12-09 15:36:16,2023-12-09 15:54:51,100229992327486,desktop,google,windows,,UK,0 days 00:18:35,5,afternoon,194 days 18:02:35
11,2194016618.0,2023-03-03 22:28:09,2023-03-03 23:24:29,100252699231636,mobile,,ios,FR,,0 days 00:56:20,4,evening,
12,770097035.0,2023-03-18 16:24:05,2023-03-18 17:16:32,100252699231636,mobile,,ios,FR,,0 days 00:52:27,5,afternoon,14 days 16:59:36
13,3140558620.0,2023-11-11 06:19:23,2023-11-11 07:04:16,100252699231636,mobile,,ios,FR,,0 days 00:44:53,5,morning,237 days 13:02:51
14,946893447.0,2023-11-30 21:21:27,2023-11-30 21:49:40,100252699231636,mobile,,ios,FR,,0 days 00:28:13,3,evening,19 days 14:17:11
15,3243730613.0,2023-05-11 19:24:21,2023-05-11 19:46:26,100289028843358,desktop,google,windows,,FR,0 days 00:22:05,3,evening,
16,3520422887.0,2023-12-06 05:10:10,2023-12-06 05:45:20,100289028843358,desktop,google,windows,,FR,0 days 00:35:10,2,night,208 days 09:23:44
17,979271812.0,2023-03-22 10:21:44,2023-03-22 10:27:40,100302370925967,mobile,google,android,FR,FR,0 days 00:05:56,2,morning,
18,4250244774.0,2023-04-09 00:23:15,2023-04-09 01:16:47,100302370925967,mobile,google,android,FR,FR,0 days 00:53:32,6,night,17 days 13:55:35
19,1465139858.0,2023-01-06 03:07:10,2023-01-06 04:03:58,100379495953971,mobile,google,ios,FR,FR,0 days 00:56:48,4,night,
20,2531685811.0,2023-07-23 17:53:16,2023-07-23 18:26:22,100379495953971,mobile,google,ios,FR,FR,0 days 00:33:06,6,afternoon,198 days 13:49:18
21,2324790874.0,2023-12-18 03:55:44,2023-12-18 04:04:45,100379495953971,mobile,google,ios,FR,FR,0 days 00:09:01,0,night,147 days 09:29:22
