,user_id,session_count,avg_days_btw,sum_duration_in_min,avg_duration_in_min,visits_p1,visits_p2,visits_p3,visits_p4,visits_p5,visits_p6,time_in_sec_p1,time_in_sec_p2,time_in_sec_p3,time_in_sec_p4,time_in_sec_p5,time_in_sec_p6,ctc_p1,ctc_p2,ctc_p3,ctc_p4,ctc_p5,ctc_p6,perc_time_p1,perc_time_p2,perc_time_p3,perc_time_p4,perc_time_p5,perc_time_p6,minutes_mon,minutes_tue,minutes_wed,minutes_thu,minutes_fri,minutes_sat,minutes_sun,avg_mon,avg_tue,avg_wed,avg_thu,avg_fri,avg_sat,avg_sun,minutes_afternoon,minutes_evening,minutes_morning,minutes_night,avg_afternoon,avg_evening,avg_morning,avg_night,device_type,device_browser,device_operating_system,device_language,country,first_visit_campaign_id,first_visit_medium,first_visit_referrer
0,100003521321234,1,0.0,17.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,335.0,16.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3290766208251473,0.015717092337917484,0.0,0.6552062868369352,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,mobile,google,ios,Other,FR,67bac78ff1,paid,google
1,100015668608769,1,0.0,22.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,274.0,0.0,249.0,0.0,0.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110939907550077,0.0,0.19183359013867488,0.0,0.0,0.5970724191063174,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,desktop,google,windows,,FR,f11dac0db6,paid,google
2,100018322460971,3,142.0,92.0,31.0,3.0,4.0,2.0,1.0,2.0,1.0,841.0,833.0,861.0,294.0,248.0,1373.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18898876404494383,0.18719101123595505,0.19348314606741573,0.06606741573033707,0.05573033707865169,0.3085393258426966,0.0,0.0,41.0,0.0,0.0,51.0,0.0,0.0,0.0,41.0,0.0,0.0,25.0,0.0,0.0,74.0,18.0,0.0,0.0,37.0,18.0,0.0,desktop,bing,windows,,FR,95137568bf,link,
3,100127188065202,1,0.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,494.0,776.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00900225056264066,0.3705926481620405,0.582145536384096,0.03675918979744936,0.0015003750937734434,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,mobile,,ios,FR,FR,67bac78ff1,paid,google
4,100163013020334,3,68.0,111.0,37.0,4.0,3.0,3.0,4.0,0.0,4.0,2721.0,698.0,663.0,665.0,0.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40831332533013204,0.10474189675870348,0.09948979591836735,0.09978991596638656,0.0,0.28766506602641057,37.0,0.0,47.0,0.0,0.0,28.0,0.0,37.0,0.0,47.0,0.0,0.0,28.0,0.0,28.0,0.0,47.0,37.0,28.0,0.0,47.0,37.0,mobile,bing,android,FR,FR,242649bfe1,paid,google
5,100229992327486,2,194.0,64.0,32.0,2.0,3.0,1.0,2.0,0.0,2.0,1576.0,1607.0,174.0,260.0,0.0,216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4111661883642056,0.41925384816070965,0.0453952517610227,0.06783198539003392,0.0,0.05635272632402818,0.0,0.0,0.0,0.0,0.0,19.0,45.0,0.0,0.0,0.0,0.0,0.0,19.0,45.0,19.0,45.0,0.0,0.0,19.0,45.0,0.0,0.0,desktop,google,windows,,UK,73dc9eab7b,organic,google
6,100252699231636,4,90.0,182.0,45.0,1.0,1.0,2.0,2.0,4.0,2.0,810.0,153.0,1167.0,2883.0,4358.0,1542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07422340328049115,0.014019976175203886,0.10693668102263355,0.2641803353798222,0.39934023641528454,0.14129936772656465,0.0,0.0,0.0,28.0,56.0,97.0,0.0,0.0,0.0,0.0,28.0,56.0,49.0,0.0,52.0,85.0,45.0,0.0,52.0,42.0,45.0,0.0,mobile,,ios,FR,,f11dac0db6,organic,google
7,100289028843358,2,208.0,57.0,29.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,943.0,0.0,0.0,2492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745269286754003,0.0,0.0,0.7254730713245997,0.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,35.0,0.0,22.0,0.0,35.0,desktop,google,windows,,FR,67bac78ff1,affiliation,affise
8,100302370925967,2,17.0,59.0,30.0,1.0,3.0,1.0,0.0,0.0,0.0,59.0,281.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16573033707865167,0.7893258426966292,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,0.0,0.0,6.0,54.0,0.0,0.0,6.0,54.0,mobile,google,android,FR,FR,242649bfe1,organic,google
9,100379495953971,3,172.0,99.0,33.0,3.0,3.0,5.0,2.0,3.0,6.0,1109.0,798.0,1833.0,305.0,400.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18685762426284752,0.13445661331086772,0.3088458298230834,0.051390058972198824,0.06739679865206402,0.2510530749789385,9.0,0.0,0.0,0.0,57.0,0.0,33.0,9.0,0.0,0.0,0.0,57.0,0.0,33.0,33.0,0.0,0.0,66.0,33.0,0.0,0.0,33.0,mobile,google,ios,FR,FR,f115ad964e,paid,google
10,100391830194386,2,213.0,26.0,13.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,57.0,186.0,0.0,124.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03621346886912325,0.1181702668360864,0.0,0.07878017789072427,0.7668360864040661,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,13.0,mobile,google,,FR,FR,45c82b38c6,link,
11,100409589043805,1,0.0,42.0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2298.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210420841683367,0.07895791583166333,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,mobile,yahoo,android,Other,PT,67bac78ff1,paid,google
12,100448894846436,2,22.0,29.0,14.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,112.0,173.0,1184.0,14.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06455331412103746,0.09971181556195965,0.6824207492795389,0.008069164265129682,0.1452449567723343,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,5.0,24.0,0.0,0.0,5.0,24.0,0.0,0.0,mobile,google,ios,,FR,f115ad964e,paid,google
13,100519922937549,3,109.0,86.0,29.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1015.0,0.0,49.0,43.0,4064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962869851092632,0.0,0.009475923419067878,0.008315606265712629,0.7859214852059563,4.0,0.0,56.0,0.0,27.0,0.0,0.0,4.0,0.0,56.0,0.0,27.0,0.0,0.0,56.0,0.0,0.0,31.0,56.0,0.0,0.0,15.0,desktop,google,windows,,FR,9fa01fb1a0,paid,google
14,100543386075205,6,46.0,197.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,0.0,30.0,0.0,0.0,54.0,58.0,27.0,0.0,30.0,0.0,0.0,27.0,58.0,0.0,0.0,97.0,100.0,0.0,0.0,24.0,50.0,desktop,google,windows,,FR,,,
15,100555850804097,1,0.0,27.0,27.0,1.0,0.0,0.0,1.0,0.0,3.0,36.0,0.0,0.0,29.0,0.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022072348252605765,0.0,0.0,0.017780502759043533,0.0,0.9601471489883507,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,mobile,google,ios,FR,FR,,affiliation,cj
