,user_id,setup_cluster,user_preference,user_behavior
0,100003521321234,4,Page 5,Weekday Daytime
1,100015668608769,1,Page 6,Weekday Daytime
2,100018322460971,8,Page 5,Nighttime
3,100127188065202,2,Page 3,Weekend Daytime
4,100163013020334,0,Multipages,Weekday Daytime
5,100229992327486,11,Page 1,Weekend Nighttime
6,100252699231636,2,Multipages,No preference
7,100289028843358,1,Page 5,Weekday Nighttime
8,100302370925967,6,Limited interest,Weekend Nighttime
9,100379495953971,4,Multipages,No preference
10,100391830194386,4,Page 6,Nighttime
11,100409589043805,0,Page 5,Weekend Nighttime
12,100448894846436,4,Page 4,Weekend Nighttime
13,100519922937549,1,Page 6,Weekday
14,100543386075205,1,Limited interest,No preference
15,100555850804097,4,Page 6,Weekend Daytime
16,100563888230738,4,Page 4,Weekday Daytime
17,100564800726452,4,Limited interest,Weekend Daytime
18,100612816824435,1,Multipages,No preference
19,100642478155651,6,Multipages,Weekend
20,100668016435583,4,Page 3,Weekday Nighttime
21,100683184669856,1,Page 3,Weekday Nighttime
22,100786567804279,5,Page 2,Weekday Nighttime
23,100812489236971,5,Multipages,Weekday Daytime
24,100848525954940,5,Multipages,Weekday Nighttime
25,100894358098825,2,Page 5,Weekday
26,101067565327506,1,Multipages,Weekday Nighttime
27,101069322454572,10,Page 4,Weekday Daytime
28,101114577586899,1,Multipages,Weekday
29,101219907048879,6,Page 1,Weekday Nighttime
30,101220218245413,2,Page 4,Weekend Daytime
31,101223760936240,7,Multipages,Weekday Nighttime
32,101231079852437,5,Page 5,Weekend Nighttime
33,101327452230819,11,Multipages,Weekend
34,101506171406346,10,Page 3,Daytime
35,101546062981895,3,Multipages,Daytime
36,101692268377314,11,Limited interest,Daytime
37,101717454830018,1,Multipages,Weekday Daytime
38,101753932704397,7,Page 4,Weekend Nighttime
39,101757026568609,1,Page 6,No preference
40,101881604603031,2,Page 1,Weekday Nighttime
41,101897645420857,8,Page 4,No preference
42,101969166698172,4,Page 4,Weekday Daytime
43,101983714877038,9,Page 6,Weekday Nighttime
44,102065385929008,5,Limited interest,Weekday Daytime
45,102069513467035,9,Page 1,Weekday Daytime
46,102073825051328,3,Page 3,Daytime
47,102126042669948,4,Multipages,Weekday
48,102217290652423,2,Page 3,Weekday
49,102223713735921,4,Multipages,Weekday Daytime
50,102316544102876,0,Multipages,Weekday Daytime
51,102378303005384,5,Page 3,Weekday Nighttime
52,102446232319090,10,Page 4,Weekday Nighttime
53,102448890143119,9,Multipages,Weekday Daytime
54,102482539122384,10,Page 5,Nighttime
55,102490985604474,5,Page 3,Weekday
56,102580251877353,0,Multipages,Weekday Daytime
57,102621982475581,1,Multipages,Weekday Daytime
58,102641689820366,4,Multipages,Weekday
59,102660027027405,3,Page 1,Weekday Daytime
60,102698007271994,2,Page 5,No preference
61,102733830431458,9,Page 3,Weekday Daytime
62,102823891261197,6,Limited interest,Nighttime
63,102919945113142,2,Page 3,Weekend
64,102921096200031,1,Limited interest,Weekday Nighttime
65,102939450998566,0,Page 3,Weekday Daytime
66,102968658569209,5,Page 5,Weekday Daytime
67,102974134941467,10,Page 4,Weekday Daytime
68,103033867285124,0,Limited interest,Weekday Daytime
69,103089871077853,2,Page 1,Weekday
70,103316227812815,6,Page 5,Daytime
71,103406228436188,0,Multipages,Weekend
72,103547280804527,5,Multipages,No preference
73,103599953104426,9,Multipages,Weekday
74,103605300166341,4,Multipages,Weekday
